rl_prob,brute_prob,traj,len_traj,len_traj_list_in_m,rl_actions_to_crash_lists,wall_discards
[],0.0,"[[ 46 146], [ 50 133], [ 56 113], [62 93], [66 81], [72 56], [74 38], [82 14]]","[[ 46 146], [ 50 133], [ 56 113], [62 93], [66 81], [72 56], [74 38], [82 14]]",137.1307,[],790
[],0.0,"[[ 46 146], [ 58 140], [ 67 134], [ 81 128]]","[[ 46 146], [ 58 140], [ 67 134], [ 81 128]]",39.4646,[],790
"[(0.4, 1), (0.2222, 2), (0.2222, 2)]",0.7692,"[[124  89], [122  65], [104  55], [81 49]]","[[124  89], [122  65], [104  55], [81 49]]",68.4442,"[[4], [2, 1], [5, 6]]",790
"[(0.4706, 4), (0.4444, 2), (0.0476, 7)]",0.4878,"[[ 96 176], [ 90 164], [ 79 139], [ 77 118], [ 73 100], [72 83], [73 77], [79 58], [86 45], [88 40], [91 17]]","[[ 96 176], [ 90 164], [ 79 139], [ 77 118], [ 73 100], [72 83], [73 77], [79 58], [86 45], [88 40], [91 17]]",166.6453,"[[3, 7, 4, 6], [4, 6], [3, 5, 3, 0, 7, 7, 0]]",790
"[(0.2, 1)]",0.3333,"[[133 166], [105 173], [102 174]]","[[133 166], [105 173], [102 174]]",32.024,[[5]],790
"[(0.2308, 3)]",0.2308,"[[70 31], [79 38], [86 45], [104  55]]","[[70 31], [79 38], [86 45], [104  55]]",41.8925,"[[7, 3, 4]]",790
"[(0.4444, 2)]",0.6154,"[[110 174], [102 174], [ 84 165], [ 84 149]]","[[110 174], [102 174], [ 84 165], [ 84 149]]",44.1246,"[[3, 0]]",790
[],0.0769,"[[37 98], [ 45 117], [ 50 133], [ 61 155]]","[[37 98], [ 45 117], [ 50 133], [ 61 155]]",61.9753,[],790
[],0.0,"[[142 151], [133 166], [127 176]]","[[142 151], [133 166], [127 176]]",29.1548,[],790
"[(0.2353, 4)]",0.2353,"[[45 75], [54 85], [62 89], [ 73 100], [ 85 115]]","[[45 75], [54 85], [62 89], [ 73 100], [ 85 115]]",57.1636,"[[5, 1, 3, 6]]",790
[],0.0,"[[ 64 126], [ 62 111], [57 88]]","[[ 64 126], [ 62 111], [57 88]]",38.67,[],790
"[(0.2308, 3)]",0.2308,"[[106  73], [114  70], [119  75], [134  91]]","[[106  73], [114  70], [119  75], [134  91]]",37.5468,"[[5, 6, 6]]",790
"[(0.3077, 3), (0.1176, 4)]",0.3529,"[[103  53], [113  65], [119  75], [132  90], [138  93]]","[[103  53], [113  65], [119  75], [132  90], [138  93]]",53.84,"[[2, 0, 3], [6, 4, 5, 6]]",790
[],0.0,"[[ 33 101], [ 39 110], [ 50 121]]","[[ 33 101], [ 39 110], [ 50 121]]",26.373,[],790
[],0.0,"[[37 94], [37 98], [ 41 118], [ 45 126], [ 49 137]]","[[37 94], [37 98], [ 41 118], [ 45 126], [ 49 137]]",45.045,[],790
"[(0.4, 1)]",0.4,"[[133 154], [153 142]]","[[133 154], [153 142]]",23.3238,[[4]],790
"[(0.2857, 5), (0.1538, 3)]",0.32,"[[88 40], [86 45], [79 58], [73 77], [72 83], [ 73 100], [ 77 118]]","[[88 40], [86 45], [79 58], [73 77], [72 83], [ 73 100], [ 77 118]]",81.6261,"[[7, 2, 1, 3, 4], [1, 6, 4]]",790
"[(0.2381, 6)]",0.2414,"[[ 78 155], [ 72 130], [ 70 125], [ 69 103], [72 83], [73 77], [79 58], [87 47]]","[[ 78 155], [ 72 130], [ 70 125], [ 69 103], [72 83], [73 77], [79 58], [87 47]]",112.9506,"[[6, 6, 1, 4, 2, 5]]",790
"[(0.0, 2)]",0.0,"[[95 56], [79 58], [71 75], [66 81], [59 93]]","[[95 56], [79 58], [71 75], [66 81], [59 93]]",56.6155,"[[5, 4]]",790
"[(0.2222, 2), (0.1176, 4)]",0.381,"[[96 58], [79 58], [73 77], [72 83], [ 73 100], [ 77 118]]","[[96 58], [79 58], [73 77], [72 83], [ 73 100], [ 77 118]]",78.4761,"[[4, 4], [4, 5, 5, 4]]",790
"[(0.2222, 2)]",0.2222,"[[71 29], [86 45], [95 56]]","[[71 29], [86 45], [95 56]]",36.1444,"[[4, 4]]",790
