Trajectory,StartX,StartY,EndX,EndY,N_nodes,length,Prob_collision_Brute_force,Prob_collision_IDA,Expected Probability Collision,Prob_collision_real_world,Prob_collision_robotino_calibration_error,Prob_collision_robotino_lights_error,Risk,Prob_collision_robotino_object_detection_error
"[[ 89 162], [ 96 169], [101 172], [108 175], [126 181]]",89,162,126,181,5,42.3199,0.0,0.0646,0.0726,,,,30.5026,
"[[164 105], [159 101], [147  94], [141  97], [132 103], [121 113], [115 117], [ 98 117], [ 83 123]]",164,105,83,123,9,93.0531,0.3333,0.3147,0.0046,,,,35.6315,
"[[ 32 109], [ 39 104], [64 92], [71 87], [85 78], [102  70], [119  72], [128  73]]",32,109,128,73,8,106.5397,0.3793,0.2422,0.0129,,,,36.3857,
"[[119  20], [129  29], [155  53], [182  77], [165  87], [151  92], [144  79], [141  64]]",119,20,141,64,8,149.6131,0.6207,0.725,0.1742,,,,40.1457,
"[[96 77], [102  70], [124  56]]",96,77,124,56,3,35.2964,0.2222,0.179,0.0446,,,,33.6298,
"[[59 50], [62 52], [73 56], [97 65], [119  72], [130  81], [142  91], [147  94], [159 101], [164 105]]",59,50,164,105,10,119.9887,0.0,0.3538,0.0807,,,,31.0579,
"[[ 91 140], [ 88 139], [ 90 155], [104 173]]",91,140,104,173,4,42.0903,0.4615,0.2352,0.156,,,,37.1004,
"[[91 49], [96 42], [98 39]]",91,49,98,39,3,12.2079,0.7778,0.1639,0.02,,,,41.4098,
"[[175  92], [171  96], [168 102], [166 104], [162 114], [158 124], [137 145], [120 155]]",175,92,120,155,8,86.1557,0.2414,0.463,0.2199,,,,34.268,
"[[55 57], [75 67], [76 68], [78 70], [85 75], [93 80], [111  88], [125 113], [137 125], [155 131], [162 129]]",55,57,162,129,11,136.2148,0.2683,0.5339,0.4464,,,,35.0106,
"[[80 85], [93 80], [111  88], [114  85], [137  73]]",80,85,137,73,5,63.811,0.4118,0.1711,0.0732,,,,36.545,
"[[ 48 157], [ 69 155], [ 89 162]]",48,157,89,162,3,42.2846,0.0,0.0784,0.0016,,,,30.5023,
"[[97 65], [105  65], [114  85], [116 103], [125 113], [137 125], [145 145], [138 163]]",97,65,138,163,8,119.3205,0.6897,0.6327,0.4698,,,,40.9159,
"[[76  8], [78  8], [64 46], [64 77], [ 74 102], [ 83 123], [ 88 139], [ 90 155], [104 173]]",76,8,104,173,9,178.9611,0.9697,0.8931,0.8674,,,,45.3463,
"[[109  81], [111  88], [115 108], [109 129], [ 99 135], [ 91 140], [ 84 156], [ 89 169]]",109,81,89,169,8,102.005,0.5517,0.2865,0.0229,,,,38.8186,
"[[137 125], [145 145], [127 165], [124 166]]",137,125,124,166,4,51.6102,0.4615,0.2543,0.0383,,,,37.1685,
"[[143  39], [155  53], [182  77]]",143,39,182,77,3,54.5639,0.3333,0.1796,0.2566,,,,35.3563,
"[[ 99 165], [103 166], [111 170], [126 177]]",99,165,126,177,4,29.6203,0.0,0.031,0.0761,,,,30.4118,
"[[96 55], [93 57], [86 62], [82 70], [72 89], [ 68 100], [ 62 116]]",96,55,62,116,7,71.4158,0.0,0.1522,0.0179,,,,30.7106,
"[[ 52 135], [ 48 127], [ 42 105], [47 81], [48 73]]",52,135,48,73,5,64.3253,0.4118,0.3039,0.2928,,,,36.5487,
"[[79 74], [85 76], [93 80], [111  88]]",79,74,111,88,4,34.9665,0.2308,0.0139,0.0445,,,,33.7505,
"[[114  85], [124  92]]",114,85,124,92,2,12.2066,0.0,0.0404,0.0567,,,,30.2873,
"[[ 36 155], [ 46 158], [ 69 155], [ 89 162], [ 99 165], [116 158]]",36,155,116,158,6,83.6498,0.2381,0.004,0.0762,,,,34.2029,
"[[89 50], [85 62], [81 70], [75 80], [ 74 102], [ 83 123], [ 88 139], [ 89 162], [108 166]]",89,50,108,166,9,137.3266,0.3636,0.5612,0.3136,,,,36.3814,
"[[ 94 171], [ 96 169], [103 166], [118 155], [137 145], [158 124], [162 114], [165  87]]",94,171,165,87,8,118.1512,0.3448,0.4873,0.454,,,,35.9754,
"[[96 42], [91 49], [86 62], [79 74], [69 92]]",96,42,69,92,5,57.0144,0.0,0.1671,0.0253,,,,30.6077,
"[[36 93], [ 43 103], [ 57 125], [ 67 137], [ 81 151], [ 84 156], [ 89 162], [ 90 164]]",36,93,90,164,8,89.5801,0.0345,0.0452,0.0008,,,,31.3338,
"[[127  71], [124  85], [116 103], [115 117], [ 98 130], [ 88 139], [ 90 155], [ 92 156]]",127,71,92,156,8,101.2663,0.2069,0.4992,0.0475,,,,33.8827,
"[[131 101], [115 117], [ 98 117], [ 83 123], [ 66 125], [ 42 123]]",131,101,42,123,6,96.9833,0.0,0.1728,0.0301,,,,30.8934,
"[[116 185], [128 167], [145 145], [137 125], [127 117], [132 103], [141  97]]",116,185,141,97,7,109.4658,0.64,0.6078,0.3167,,,,40.1347,
"[[55 57], [60 41]]",55,57,60,41,2,16.7631,0.4,0.1103,0.2074,,,,36.0399,
"[[128  73], [119  72], [102  70], [96 77], [80 85], [72 89], [ 66 111], [ 52 135]]",128,73,52,135,8,112.8134,0.3448,0.4375,0.2327,,,,35.9373,
"[[135 170], [138 163], [144 151], [155 131], [158 124], [162 114], [166 104]]",135,170,166,104,7,73.014,0.04,0.3072,0.1157,,,,31.2941,
"[[96 77], [76 68], [60 57]]",96,77,60,57,3,41.3482,0.1111,0.0639,0.1045,,,,32.0844,
"[[127 117], [125 119], [120 121], [ 98 117], [ 78 109], [ 60 103]]",127,117,60,103,6,71.0886,0.0,0.1251,0.0208,,,,30.7083,
"[[ 65 112], [ 67 111], [ 92 115], [115 117], [121 113], [132 103], [138 100], [147  94], [159 101]]",65,112,159,101,9,104.1353,0.1818,0.3391,0.1839,,,,33.5443,
"[[171  96], [156  93], [143  87], [119  72], [105  65], [86 62], [73 58]]",171,96,73,58,7,106.4062,0.0,0.2646,0.0461,,,,30.9608,
"[[126 181], [135 170], [145 145], [137 125], [125 113], [111  88]]",126,181,111,88,6,108.3028,0.6667,0.6255,0.2999,,,,40.5082,
"[[59 63], [64 77], [68 91], [ 67 111], [ 67 137], [ 69 155]]",59,63,69,155,6,93.562,0.0,0.157,0.0385,,,,30.869,
"[[138 163], [144 151], [155 131], [158 124], [162 114], [166 104], [168 102], [171  96], [182  77], [174  65], [161  43], [156  38]]",138,163,156,38,12,143.9365,0.1556,0.6487,0.3066,,,,33.4542,
"[[98 39], [96 42], [105  65], [114  85], [116 103], [116 124]]",98,39,116,124,6,89.3462,0.9048,0.3343,0.1416,,,,43.7775,
"[[109 129], [116 124], [124 120], [125 119], [127 117], [138 100], [147  94], [151  92], [165  87], [182  77], [167  71], [183  46]]",109,129,183,46,12,137.7528,0.4667,0.5741,0.5575,,,,37.8587,
"[[122 162], [145 145], [137 125], [127 117], [116 103], [114  85], [105  65], [97 65]]",122,162,97,65,8,128.7946,0.8276,0.6728,0.4976,,,,42.9556,
"[[168 102], [171  96], [182  77], [174  65], [157  41], [168  40]]",168,102,168,40,6,83.5412,0.2857,0.7024,0.4316,,,,34.8828,
"[[ 19 131], [ 48 127], [ 71 119], [ 92 115], [115 117], [121 113], [132 103], [138 100]]",19,131,138,100,8,126.8759,0.4483,0.2055,0.0732,,,,37.5179,
"[[ 90 155], [104 173], [126 168]]",90,155,126,168,3,45.3645,0.4444,0.2311,0.1813,,,,36.8793,
"[[ 18 138], [ 22 135], [ 40 129], [ 48 127], [ 62 116], [ 74 102]]",18,138,74,102,6,68.4635,0.4762,0.2888,0.2196,,,,37.4992,
"[[ 79 136], [ 88 139]]",79,136,88,139,2,9.4868,0.0,0.0705,0.0265,,,,30.2678,
"[[ 48 152], [ 52 144], [ 56 134], [ 62 116], [ 66 111], [72 89], [75 80], [66 53]]",48,152,66,53,8,105.8422,0.0,0.2047,0.1443,,,,30.9568,
"[[ 84 156], [ 79 136], [ 76 114], [ 74 102], [72 89], [79 74], [86 62]]",84,156,86,62,7,98.583,0.32,0.2974,0.2067,,,,35.4809,
"[[73 58], [85 62], [97 65], [119  72], [143  87], [165  86], [182  77], [162  65]]",73,58,162,65,8,140.9891,0.2069,0.5915,0.3627,,,,34.1667,
"[[137 145], [145 145], [137 125], [125 113], [111  88], [93 80], [85 75]]",137,145,85,75,7,104.296,0.88,0.6575,0.4112,,,,43.5297,
"[[124 120], [137 125], [155 149]]",124,120,155,149,3,43.9284,0.4444,0.4706,0.2648,,,,36.869,
"[[105  65], [119  72], [130  81], [142  91], [147  94], [159 101], [167 108]]",105,65,167,108,7,75.8392,0.0,0.2246,0.1134,,,,30.7423,
"[[116  19], [129  29], [155  53], [182  77], [171  96], [168 102], [166 104], [162 114], [158 124], [145 145]]",116,19,145,145,10,165.6396,0.4324,0.6782,0.6782,,,,37.5676,
"[[111  88], [93 80], [80 85], [72 89], [66 92]]",111,88,66,92,5,49.2786,0.0,0.0088,0.0384,,,,30.5523,
"[[151  92], [147  94], [141  97], [132 103], [121 113], [115 117]]",151,92,115,117,6,44.0742,0.3333,0.0881,0.0736,,,,35.2813,
"[[119  72], [102  70], [96 77], [80 85], [72 89], [66 92], [ 43 103], [ 35 105]]",119,72,35,105,8,93.6191,0.4138,0.3075,0.2405,,,,36.7867,
"[[155 131], [137 125], [127 117], [116 103], [114  85], [105  65], [93 57]]",155,131,93,57,7,104.0491,0.64,0.6171,0.0222,,,,40.096,
"[[152 162], [137 145], [145 145], [137 125], [114 121]]",152,162,114,121,5,75.5575,1.0,0.5362,0.5112,,,,45.0402,
"[[161  64], [182  77], [165  87], [151  92], [144  79]]",161,64,144,79,5,74.0522,0.6471,0.6466,0.0705,,,,39.983,
"[[127 104], [125 113], [137 125], [145 145], [127 165], [121 168], [107 180]]",127,104,107,180,7,99.7853,0.84,0.5293,0.497,,,,42.9255,
"[[137  73], [139  76], [131 101], [127 117], [123 129]]",137,73,123,129,5,58.9959,0.0,0.2405,0.1211,,,,30.6218,
"[[161  43], [174  65], [182  77], [165  87], [151  92], [147  94], [141  97], [132 103], [121 113], [115 117], [ 98 130], [ 88 139], [ 68 148], [ 48 152]]",161,43,48,152,14,195.8217,0.9057,0.8148,0.8071,,,,44.5516,
"[[175  92], [171  96], [168 102], [166 104], [162 114], [158 124], [155 131], [145 159], [137 181]]",175,92,137,181,9,97.4915,0.0606,0.4422,0.0691,,,,31.7636,
"[[132 103], [121 113], [115 117], [ 98 117], [ 85 114], [ 59 112], [ 42 105]]",132,103,42,105,7,96.8804,0.12,0.3983,0.0724,,,,32.6087,
"[[ 46 150], [ 69 155], [ 89 169], [ 94 171]]",46,150,94,171,4,53.3355,0.0,0.0455,0.0253,,,,30.5813,
"[[94  4], [78  8], [64 46], [64 77], [ 74 102], [ 83 123], [ 93 134]]",94,4,93,134,7,152.6285,0.96,0.9391,0.8672,,,,45.0193,
"[[137 125], [125 113], [124  92], [119  72]]",137,125,119,72,4,58.6099,0.4615,0.4532,0.4199,,,,37.2185,
"[[ 41 111], [ 42 105], [50 82], [54 72], [64 46], [78  8], [111  19], [129  29], [156  38], [126  18]]",41,111,126,18,10,229.4507,0.8378,1.2026,0.1521,,,,43.8211,
"[[ 55 140], [ 56 134], [ 62 116], [ 66 111], [72 89], [75 80], [81 70], [85 62], [91 49]]",55,140,91,49,9,98.6739,0.0,0.1684,0.054,,,,30.9055,
"[[85 78], [85 75], [96 42]]",85,78,96,42,3,37.7851,0.2222,0.2728,0.1532,,,,33.6476,
"[[155 149], [138 160], [130 164], [121 168], [117 170], [107 178]]",155,149,107,178,6,56.32,0.0,0.0689,0.0602,,,,30.6027,
"[[ 78 109], [ 74 102], [75 80], [66 53]]",78,109,66,53,4,58.5455,0.4615,0.3182,0.2399,,,,37.2181,
"[[130  21], [157  41], [174  65], [182  77], [171  96], [168 102], [166 104], [162 114], [158 124], [137 145], [124 158], [117 170]]",130,21,117,170,12,192.4412,0.6444,0.7651,0.7439,,,,40.7909,
"[[142  91], [138 100], [127 117], [137 125], [145 145], [124 158], [108 166]]",142,91,108,166,7,107.0309,0.72,0.6282,0.4739,,,,41.2613,
"[[ 48 152], [ 69 155], [ 90 164], [ 96 169], [101 172], [116 185]]",48,152,116,185,6,77.5512,0.0952,0.0502,0.0925,,,,32.1159,
"[[116 103], [115 108], [109 129], [ 99 137]]",116,103,99,137,4,39.7456,0.3077,0.0899,0.0646,,,,34.8843,
"[[ 69 155], [ 90 164], [ 96 169], [101 172], [116 185]]",69,155,116,185,5,56.338,0.1176,0.0505,0.0925,,,,32.2845,
"[[150  82], [126  63], [93 57]]",150,82,93,57,3,64.1515,1.0,0.2286,0.1789,,,,44.9587,
"[[ 98 130], [116 124], [132 124]]",98,130,132,124,3,34.9737,0.0,0.0913,0.155,,,,30.4501,
"[[150  82], [151  92], [147  94], [138 100]]",150,82,138,100,4,25.3387,0.6923,0.158,0.1248,,,,40.2811,
"[[ 66 111], [72 89], [75 80], [68 44]]",66,111,68,44,4,68.9646,0.0769,0.2342,0.2202,,,,31.7928,
"[[144  79], [151  92], [159 101], [161 129]]",144,79,161,129,4,54.8778,0.6923,0.4322,0.4431,,,,40.4923,
"[[138 160], [130 164], [124 166], [ 99 165], [ 84 156], [ 81 151], [ 67 137], [ 62 116]]",138,160,62,116,8,104.9986,0.3448,0.4267,0.1556,,,,35.8814,
"[[82 70], [72 89], [ 66 111]]",82,70,66,111,3,44.2744,0.0,0.0113,0.0107,,,,30.5166,
"[[116 124], [124 120], [125 119]]",116,124,125,119,3,10.3585,0.0,0.0304,0.0786,,,,30.2741,
"[[ 89 162], [103 166], [111 170]]",89,162,111,170,3,23.5045,0.0,0.0092,0.0603,,,,30.3681,
"[[138 163], [145 145], [137 125], [125 113], [111  88], [93 80], [85 76], [78 70], [76 68], [75 67], [64 46], [78  8], [77  4]]",138,163,77,4,13,196.9083,1.0,0.8085,0.6945,,,,45.9079,
"[[103 134], [101 132], [ 93 128], [ 78 112], [ 77 111], [68 91], [65 77], [64 64], [62 40], [83 15], [92 11], [90  6]]",103,134,90,6,12,156.3734,0.4667,0.7128,0.6703,,,,37.9919,
"[[116 164], [ 92 164], [ 83 144], [ 81 136], [ 75 115], [67 95], [64 89], [57 77], [50 72]]",116,164,50,72,9,126.7619,0.0,0.2995,0.0714,,,,31.1063,
"[[109  45], [106  50], [107  51], [110  57], [117  69], [121  96]]",109,45,121,96,6,55.1405,0.9048,0.2757,0.2557,,,,43.5329,
"[[116  52], [118  59]]",116,52,118,59,2,7.2801,0.0,0.0928,0.0042,,,,30.2521,
"[[141 161], [142 142], [141 135], [137 126], [121 121], [ 94 115], [ 77 111], [67 95], [64 89], [47 79]]",141,161,47,79,10,143.1314,0.6216,0.4554,0.0972,,,,40.1123,
"[[168  54], [169  67], [177  81], [145  93], [130  89], [106  86], [83 83], [65 77], [44 80]]",168,54,44,80,9,166.4316,0.9697,0.6493,0.5915,,,,45.2567,
"[[129  81], [125  97], [107 118], [ 98 124], [ 84 131], [ 65 136]]",129,81,65,136,6,90.2671,0.381,0.2772,0.1826,,,,36.2937,
"[[118 133], [120 105], [106  86], [95 78], [97 68]]",118,133,97,68,5,75.4717,0.9412,0.5124,0.0719,,,,44.1988,
"[[140  41], [121  34], [108  27], [94 20], [88 17], [83 15], [62 40], [60 55], [57 77], [55 94], [ 52 103], [ 48 125], [ 41 139]]",140,41,41,139,13,197.3624,0.7959,0.8277,0.7991,,,,42.9925,
"[[ 43 142], [ 48 125], [ 52 108], [47 99], [49 78]]",43,142,49,78,5,66.5749,0.1765,0.3859,0.1535,,,,33.2,
"[[ 83 144], [ 60 138], [ 43 142]]",83,144,43,142,3,41.234,0.0,0.0818,0.0039,,,,30.4948,
"[[139 171], [142 142], [141 135], [137 126], [120 105]]",139,171,120,105,5,73.0932,0.7059,0.5573,0.1831,,,,40.817,
"[[ 61 133], [ 52 108], [45 85], [50 72]]",61,133,50,72,4,64.5407,0.3077,0.1478,0.1357,,,,35.0616,
"[[ 65 158], [ 83 144], [ 89 139], [101 132], [106 129], [116 121], [137 126]]",65,158,137,126,7,84.7304,0.04,0.1387,0.1872,,,,31.3778,
"[[116  52], [121  69], [145  93], [177  81], [169  67], [158  56], [146  54]]",116,52,146,54,7,129.6836,0.4,0.656,0.3224,,,,36.8472,
"[[181  63], [177  81], [145  93], [121  69], [112  59], [110  57], [104  52]]",181,63,104,52,7,110.6485,0.48,0.4324,0.0026,,,,37.8551,
"[[159 120], [163 102], [151  98], [130  89], [106  86], [83 83], [76 93]]",159,120,76,93,7,113.5237,0.24,0.6885,0.0169,,,,34.4437,
"[[110 169], [ 92 164], [ 83 144], [ 81 136], [ 75 115], [67 95], [64 89], [57 77], [50 72], [45 69]]",110,169,45,69,10,127.2744,0.0541,0.2183,0.1102,,,,31.8836,
"[[167  53], [169  67], [177  81], [171 104], [164 122], [157 134], [142 157], [133 177]]",167,53,133,177,8,136.6328,0.9655,0.6894,0.657,,,,44.9836,
"[[180  50], [183  57], [177  81], [145  93], [129  76], [120  54]]",180,50,120,54,6,113.6454,0.4762,0.6666,0.0667,,,,37.8222,
"[[ 93 146], [103 134], [106 129], [120 105], [121  96], [117  69], [116  52]]",93,146,116,52,7,102.6158,0.08,0.5277,0.0351,,,,32.0777,
"[[ 82 127], [ 72 135], [ 66 144], [ 53 155]]",82,127,53,155,4,40.6523,0.0,0.0619,0.0362,,,,30.4907,
"[[49 78], [64 89], [64 97]]",49,78,64,97,3,26.6011,0.0,0.0259,0.0254,,,,30.3902,
"[[88 70], [76 83], [74 87], [ 73 111], [ 72 122]]",88,70,72,122,5,57.2301,0.3529,0.2128,0.0575,,,,35.6557,
"[[65 77], [64 85], [55 94]]",65,77,55,94,3,20.7902,0.3333,0.0208,0.019,,,,35.1148,
"[[97 43], [96 48], [82 71], [74 91], [ 75 115], [ 93 128]]",97,43,93,128,6,99.7899,0.2857,0.5202,0.1237,,,,34.999,
"[[152 124], [163 102], [177  81]]",152,124,177,81,3,49.8356,0.0,0.2915,0.2415,,,,30.5563,
"[[109  45], [95 57], [88 70], [74 91], [ 75 115], [ 81 136], [ 83 144], [ 92 164]]",109,45,92,164,8,134.4818,0.9655,0.5754,0.1728,,,,44.9682,
"[[67 95], [74 88], [83 83], [106  86], [130  89], [145  93], [166 102]]",67,95,166,102,7,105.9482,0.36,0.1682,0.1708,,,,36.1055,
"[[140 133], [137 126], [121 121], [ 98 124]]",140,133,98,124,4,47.5737,0.3846,0.1492,0.0901,,,,36.0399,
"[[142 142], [141 135], [137 126], [116 121], [ 94 129], [ 72 135]]",142,142,72,135,6,84.7199,0.4762,0.3526,0.0135,,,,37.6154,
"[[ 86 111], [ 94 115], [107 118], [124 130]]",86,111,124,130,4,43.0946,0.1538,0.2957,0.1674,,,,32.7075,
"[[55 94], [64 89], [83 83], [106  86], [120 105]]",55,94,120,105,5,77.0162,0.2941,0.0979,0.112,,,,34.9563,
"[[92 74], [97 68], [103  63], [112  59], [120  54]]",92,74,120,54,5,34.9033,0.0588,0.1944,0.001,,,,31.2904,
"[[118 133], [120 105]]",118,133,120,105,2,28.0713,0.0,0.1068,0.2038,,,,30.4007,
"[[ 28 106], [ 36 100], [55 94], [64 85], [82 71], [96 48]]",28,106,96,48,6,92.3821,0.7619,0.4994,0.4021,,,,41.7557,
"[[ 56 105], [ 61 133], [ 63 134], [ 65 136]]",56,105,65,136,4,33.5074,0.0,0.0037,0.0934,,,,30.4396,
"[[ 86 111], [ 77 111], [68 91], [65 77], [64 64], [62 40], [82 16], [74 12]]",86,111,74,12,8,122.5564,0.5862,0.7051,0.6524,,,,39.4589,
"[[141  37], [129  34], [108  27], [94 20], [88 17], [83 15], [62 40], [55 52], [49 78], [ 46 101]]",141,37,46,101,10,158.6714,0.7027,0.7811,0.7488,,,,41.3831,
"[[79 63], [74 87], [67 95]]",79,63,67,95,3,35.1454,0.0,0.0221,0.0259,,,,30.4513,
"[[177  81], [169  67], [158  56], [152  46], [146  40]]",177,81,146,40,5,51.828,0.8824,0.4087,0.2642,,,,43.1889,
"[[121  34], [108  27], [94 20], [88 17], [83 15], [62 40], [79 63], [102  61], [112  59]]",121,34,112,59,9,137.0459,0.7879,0.8353,0.7743,,,,42.4468,
"[[ 46 150], [ 52 146], [ 71 138], [ 84 131]]",46,150,84,131,4,42.5915,0.0,0.0523,0.0458,,,,30.5045,
"[[140  41], [153  51], [169  67], [177  81], [145  93], [130  89], [106  86], [96 86]]",140,41,96,86,8,139.0401,0.5517,0.7188,0.4721,,,,39.0834,
"[[ 84 131], [ 72 135], [ 61 137]]",84,131,61,137,3,23.8295,0.0,0.0257,0.0723,,,,30.3704,
"[[ 33 113], [ 46 112], [ 65 110], [ 94 115], [116 121], [137 126], [140 133]]",33,113,140,133,7,113.5776,0.12,0.1888,0.1124,,,,32.7281,
"[[181  63], [177  81], [145  93], [127 110], [109 132]]",181,63,109,132,5,105.7993,0.7647,0.5311,0.1441,,,,41.8917,
"[[149  39], [156  47], [162  56], [177  81], [145  93], [121  69], [112  59], [110  57], [104  52]]",149,39,104,52,9,142.811,0.4242,0.6825,0.5994,,,,37.2872,
"[[ 29 118], [ 31 119], [ 44 126], [ 54 135], [ 60 138], [ 77 160], [ 88 170], [ 90 172], [101 176], [122 181], [136 186]]",29,118,136,186,11,130.8179,0.5366,0.1518,0.1406,,,,38.8087,
"[[ 93 159], [ 86 147], [ 82 127], [ 77 111], [68 91], [65 77], [64 64], [62 40], [83 15], [92 11]]",93,159,92,11,10,166.9212,0.5946,0.6547,0.5915,,,,39.8963,
"[[121  21], [127  26], [149  39]]",121,21,149,39,3,33.3641,0.3333,0.0665,0.0166,,,,35.2047,
"[[ 77 111], [ 65 115], [ 40 125], [ 38 127]]",77,111,38,127,4,42.4034,0.0,0.0105,0.0875,,,,30.5032,
"[[119 158], [116 164], [ 92 164], [ 87 153], [ 71 138], [ 63 134]]",119,158,63,134,6,73.6672,0.0,0.1325,0.0784,,,,30.7267,
"[[92 11], [118  23], [141  37], [146  40], [152  46], [158  56], [169  67], [177  81], [174  80]]",92,11,174,80,9,116.3827,0.303,0.3025,0.0976,,,,35.365,
"[[150 123], [163 102], [177  81]]",150,123,177,81,3,49.937,0.3333,0.2827,0.2415,,,,35.3232,
"[[166 102], [152 124], [144 131], [137 126]]",166,102,137,126,4,45.3093,0.4615,0.1621,0.0913,,,,37.1234,
"[[ 68 151], [ 83 144], [ 89 139], [101 132], [106 129], [116 121], [127 110], [145  93], [166 102]]",68,151,166,102,9,120.0553,0.1212,0.2595,0.1708,,,,32.7916,
"[[146  54], [152  46], [146  40], [141  37], [118  23], [93  7]]",146,54,93,7,6,80.9237,0.619,0.4106,0.1495,,,,39.6303,
"[[ 31 119], [ 46 112], [ 59 107], [ 78 112], [107 118], [120 105], [145  93], [177  81], [180  67], [174  48]]",31,119,174,48,10,194.2767,0.3514,0.5677,0.4761,,,,36.6141,
"[[ 68 151], [ 83 144], [ 89 139], [101 132], [106 129], [116 121], [127 110], [145  93], [177  81], [180  67], [182  52]]",68,151,182,52,11,160.8346,0.3659,0.4334,0.4443,,,,36.5823,
"[[ 80 120], [ 82 127], [ 86 147], [ 93 159], [105 176], [122 181], [139 183]]",80,120,139,183,7,97.2146,0.36,0.4222,0.2866,,,,36.0431,
"[[99 70], [92 74], [83 83], [74 87], [67 94], [64 96], [ 52 108]]",99,70,52,108,7,61.1146,0.0,0.0635,0.0185,,,,30.637,
"[[106  86], [120 105], [106 129], [101 132], [ 99 133], [ 87 153], [ 88 170]]",106,86,88,170,7,99.8059,0.24,0.4128,0.131,,,,34.3456,
"[[ 77 111], [ 78 112], [107 118], [120 105], [145  93], [177  81], [169  67], [161  42]]",77,111,161,42,8,153.6934,0.5517,0.5161,0.5159,,,,39.1882,
"[[99 23], [94 20], [88 17], [83 15], [62 40], [60 55], [65 77], [64 96]]",99,23,64,96,8,107.294,0.7931,0.7737,0.7186,,,,42.3085,
"[[108  51], [91 56], [79 63]]",108,51,79,63,3,31.6125,0.0,0.0029,0.0404,,,,30.426,
"[[157 134], [147 131], [121 121], [110 129], [ 99 133], [ 87 153]]",157,134,87,153,6,86.9271,0.6667,0.4591,0.0529,,,,40.3553,
"[[47 99], [ 33 113], [ 29 118]]",47,99,29,118,3,26.2021,0.0,0.1897,0.2607,,,,30.3873,
"[[ 43 142], [ 60 138], [ 72 135]]",43,142,72,135,3,29.8336,0.0,0.0251,0.0729,,,,30.4133,
"[[109 132], [127 110], [145  93], [177  81], [176  58]]",109,132,176,58,5,110.3819,0.6471,0.4226,0.2927,,,,40.2428,
"[[122 167], [136 144], [142 142], [141 135], [137 126], [120 105], [129  81]]",122,167,129,81,7,102.8208,0.72,0.6655,0.3983,,,,41.2312,
"[[ 28 106], [47 99]]",28,106,47,99,2,20.2485,0.0,0.1353,0.2324,,,,30.3448,
"[[48 73], [51 68], [57 61], [60 56]]",48,73,60,56,4,20.8814,0.0,0.0886,0.0737,,,,30.3493,
"[[174  80], [162  94], [130  89], [106  86], [95 78], [82 71]]",174,80,82,71,6,103.3804,0.7143,0.4176,0.0592,,,,41.1537,
"[[103 134], [125 125]]",103,134,125,125,2,23.7697,0.0,0.0541,0.1512,,,,30.37,
"[[94  3], [83 15], [62 40], [60 55], [56 78]]",94,3,56,78,5,87.4065,0.8824,0.8269,0.6533,,,,43.4433,
"[[156  47], [162  56], [177  81], [145  93], [127 110], [107 118], [ 78 112]]",156,47,78,112,7,150.0611,0.76,0.7295,0.6757,,,,42.1409,
"[[ 61 133], [ 65 115], [74 91], [82 71], [96 48]]",61,133,96,48,5,92.5376,0.3529,0.1566,0.0991,,,,35.9081,
"[[ 71 155], [ 86 147], [104 139], [118 133]]",71,155,118,133,4,51.9293,0.3077,0.213,0.114,,,,34.9714,
"[[51 68], [57 77], [64 89], [67 94]]",51,68,67,94,4,30.54,0.0,0.0654,0.0364,,,,30.4184,
"[[129  34], [108  27], [94 20], [88 17], [83 15], [62 40], [64 62], [74 87], [ 73 111], [ 76 127]]",129,34,76,127,10,171.8476,0.8108,0.8261,0.7712,,,,43.0232,
"[[ 54 135], [ 61 133], [ 82 127], [107 118], [120 105], [145  93], [177  81], [181  63]]",54,135,181,63,8,154.4218,0.3448,0.3625,0.2651,,,,36.2348,
"[[138 172], [139 171], [142 142], [141 135], [137 126], [120 105], [106  86], [95 78], [85 85]]",138,172,85,85,9,123.9163,1.0,0.6625,0.5822,,,,45.386,
"[[168  54], [169  67], [177  81], [145  93], [127 110], [107 118], [ 98 124], [ 84 131], [ 72 135], [ 52 146]]",168,54,52,146,10,171.5821,0.973,0.664,0.0332,,,,45.3407,
"[[146  54], [158  56], [169  67], [177  81], [166 102]]",146,54,166,102,5,67.5529,0.5882,0.4678,0.1828,,,,39.0943,
"[[122 181], [105 176], [ 93 159], [ 87 153], [ 72 135]]",122,181,72,135,5,70.4447,0.4118,0.2371,0.1237,,,,36.5924,
"[[148  46], [153  51], [169  67], [177  81], [145  93], [127 110], [107 118], [ 98 124], [ 84 131], [ 72 138], [ 66 144], [ 46 150]]",148,46,46,150,12,196.026,0.8667,0.759,0.3725,,,,43.9954,
"[[ 66 144], [ 68 123], [ 65 110], [64 85], [64 64], [66 42]]",66,144,66,42,6,102.5474,0.1429,0.2907,0.1899,,,,32.9767,
"[[ 77 160], [ 71 155], [ 61 137]]",77,160,61,137,3,28.4015,0.0,0.0567,0.0403,,,,30.4031,
"[[ 28 106], [45 85], [50 72], [55 52], [62 40], [60 37]]",28,106,60,37,6,79.0604,0.7143,0.5096,0.1328,,,,40.9798,
"[[ 52 146], [ 61 137], [ 63 134], [ 76 127], [ 91 111]]",52,146,91,111,5,53.03,0.0,0.0774,0.0002,,,,30.5792,
