N_Epochs;N_games;memory_size;batch_size;gamma;lr;anneal_lr;epsilon;entropy_coef;value_loss_coef;relevant_segments;done_after_collision;model_arch
4;100;40;8;0.7;0.00075;True;-1;0.01;0.5;0;True;normal

step;episode;value;action[-10°];action[-5°];action[0°];action[5°];action[10°];reward;collision_status;length_ratio
4;76;-0.27;0.3;0.16;0.13;0.07;0.34;-0.0;0;0
5;76;0.19;0.23;0.17;0.17;0.08;0.35;1;1;0
1;77;0.55;0.24;0.12;0.18;0.11;0.34;0.0;0;0
1;78;0.56;0.23;0.2;0.18;0.1;0.29;0.0;0;0
2;78;0.69;0.24;0.2;0.16;0.08;0.32;-0.0;0;0
1;79;0.72;0.12;0.2;0.13;0.14;0.4;1;1;0
1;80;-0.03;0.22;0.2;0.17;0.09;0.32;0.0;0;0
2;80;-0.12;0.26;0.2;0.14;0.08;0.32;0.02;0;0
3;80;0.04;0.27;0.2;0.15;0.08;0.3;1;1;0
1;81;0.47;0.14;0.18;0.08;0.07;0.53;0.0;0;0
2;81;0.66;0.08;0.18;0.09;0.13;0.51;0.01;0;0
1;82;1.05;0.12;0.1;0.1;0.47;0.21;0.0;0;0
2;82;1.0;0.19;0.08;0.1;0.41;0.22;1;1;0
1;83;0.93;0.09;0.06;0.17;0.29;0.4;0.0;0;0
2;83;0.78;0.06;0.06;0.14;0.29;0.46;1;1;0
1;84;0.59;0.1;0.16;0.13;0.2;0.42;0.01;0;0
2;84;0.59;0.07;0.2;0.08;0.13;0.52;0.02;0;0
3;84;0.65;0.07;0.16;0.09;0.18;0.49;0.01;0;0
4;84;0.68;0.08;0.22;0.12;0.18;0.4;0.0;0;0
1;85;-2.98;0.15;0.26;0.07;0.14;0.38;0.0;0;0
2;85;-3.15;0.18;0.28;0.07;0.14;0.33;1;1;0
1;86;0.74;0.09;0.27;0.1;0.18;0.36;0.0;0;0
2;86;0.79;0.09;0.2;0.12;0.27;0.31;1;1;0
1;87;0.46;0.04;0.16;0.12;0.19;0.48;0.0;0;0
2;87;0.49;0.05;0.14;0.15;0.28;0.38;0.0;0;0
3;87;0.61;0.07;0.12;0.16;0.17;0.48;0.0;0;0
4;87;0.65;0.07;0.25;0.14;0.16;0.37;-0.0;0;0
5;87;0.69;0.07;0.23;0.12;0.14;0.43;0.0;0;0
1;88;0.79;0.32;0.17;0.11;0.11;0.28;0.01;0;0
2;88;0.66;0.08;0.15;0.13;0.28;0.35;-0.02;0;0
3;88;0.72;0.07;0.18;0.11;0.16;0.48;1;1;0
1;89;0.88;0.09;0.35;0.12;0.22;0.21;0.0;0;0
2;89;0.86;0.07;0.35;0.11;0.24;0.22;-0.0;0;0
3;89;0.92;0.09;0.28;0.15;0.25;0.23;1;1;0
1;90;1.56;0.12;0.42;0.07;0.16;0.24;0.0;0;0
2;90;0.76;0.07;0.33;0.08;0.21;0.3;-0.0;0;0
1;91;0.7;0.05;0.11;0.07;0.18;0.6;-0.01;0;0
2;91;0.74;0.04;0.17;0.07;0.15;0.57;-0.01;0;0
1;92;0.77;0.07;0.17;0.05;0.26;0.45;0.0;0;0
2;92;0.76;0.07;0.17;0.05;0.27;0.44;1;1;0
1;93;0.41;0.03;0.05;0.09;0.5;0.33;0.0;0;0
2;93;0.43;0.05;0.07;0.08;0.41;0.39;-0.0;0;0
3;93;0.29;0.07;0.08;0.11;0.31;0.41;0.0;0;0
4;93;0.74;0.09;0.12;0.11;0.42;0.25;0.0;0;0
5;93;0.71;0.1;0.27;0.2;0.29;0.14;0.0;0;0
6;93;0.88;0.07;0.2;0.16;0.25;0.32;-0.01;0;0
7;93;0.86;0.1;0.18;0.15;0.24;0.33;-0.01;0;0
8;93;0.84;0.06;0.12;0.14;0.45;0.22;0.0;0;0
9;93;0.69;0.06;0.13;0.14;0.28;0.38;0.0;0;0
1;94;0.74;0.09;0.13;0.12;0.55;0.11;0.0;0;0
2;94;0.73;0.08;0.14;0.11;0.56;0.11;-0.0;0;0
3;94;0.67;0.08;0.12;0.1;0.61;0.09;-0.0;0;0
4;94;0.71;0.08;0.09;0.11;0.66;0.07;-0.0;0;0
5;94;0.7;0.14;0.13;0.12;0.5;0.11;-0.0;0;0
6;94;0.72;0.14;0.1;0.15;0.46;0.15;-0.0;0;0
7;94;0.7;0.11;0.11;0.18;0.39;0.21;0.01;0;0
8;94;0.69;0.06;0.11;0.18;0.38;0.26;-0.01;0;0
9;94;0.69;0.08;0.1;0.18;0.34;0.31;0.0;0;0
1;95;0.9;0.05;0.17;0.13;0.26;0.39;0.0;0;0
2;95;0.92;0.05;0.17;0.13;0.23;0.41;0.01;0;0
3;95;0.83;0.04;0.11;0.11;0.29;0.44;0.01;0;0
4;95;0.85;0.03;0.09;0.13;0.39;0.37;-0.01;0;0
1;96;0.94;0.15;0.09;0.11;0.06;0.58;0.0;0;0
2;96;1.03;0.17;0.09;0.11;0.07;0.57;1;1;0
1;97;0.73;0.13;0.15;0.1;0.51;0.12;0.0;0;0
2;97;0.67;0.19;0.17;0.11;0.45;0.09;-0.0;0;0
3;97;0.68;0.1;0.21;0.11;0.45;0.12;0.0;0;0
4;97;0.7;0.15;0.32;0.1;0.21;0.22;-0.0;0;0
5;97;0.73;0.1;0.35;0.12;0.18;0.25;-0.0;0;0
6;97;0.73;0.09;0.26;0.1;0.27;0.3;-0.0;0;0
7;97;0.73;0.06;0.21;0.12;0.27;0.34;-0.0;0;0
8;97;0.69;0.07;0.2;0.12;0.19;0.43;0.02;0;0
1;98;0.62;0.03;0.12;0.08;0.11;0.67;0.01;0;0
2;98;0.74;0.04;0.1;0.13;0.25;0.49;0.01;0;0
3;98;0.62;0.06;0.15;0.1;0.19;0.5;-0.01;0;0
1;99;0.34;0.04;0.05;0.03;0.11;0.77;1;1;0
1;100;0.96;0.11;0.13;0.09;0.23;0.45;0.0;0;0
2;100;0.97;0.11;0.12;0.09;0.25;0.42;1;1;0
