N_Epochs;N_games;memory_size;batch_size;gamma;lr;anneal_lr;epsilon;entropy_coef;value_loss_coef;relevant_segments;done_after_collision;model_arch
4;100;40;8;0.7;0.00075;True;-1;0.01;0.5;0;True;normal

step;episode;value;action[-10°];action[-5°];action[0°];action[5°];action[10°];reward;collision_status;length_ratio
6;63;-0.99;0.15;0.13;0.39;0.15;0.18;0.0;0;0
1;64;-0.57;0.14;0.29;0.3;0.13;0.15;0.0;0;0
2;64;-0.55;0.3;0.27;0.19;0.12;0.13;0.0;0;0
3;64;-0.76;0.27;0.26;0.2;0.13;0.14;1;1;0
1;65;-0.57;0.14;0.29;0.3;0.13;0.15;-0.0;0;0
2;65;-0.78;0.3;0.3;0.19;0.1;0.1;0.0;0;0
3;65;-0.88;0.25;0.23;0.24;0.14;0.15;0.01;0;0
4;65;-0.87;0.19;0.18;0.21;0.21;0.21;0.0;0;0
5;65;-0.84;0.12;0.13;0.19;0.29;0.27;0.0;0;0
6;65;-0.85;0.18;0.15;0.31;0.17;0.19;0.0;0;0
1;66;-0.57;0.14;0.29;0.3;0.13;0.15;0.0;0;0
2;66;-0.55;0.3;0.27;0.19;0.12;0.13;0.02;0;0
3;66;-0.26;0.35;0.27;0.21;0.08;0.09;1;1;0
1;67;-0.57;0.14;0.29;0.3;0.13;0.15;0.0;0;0
2;67;-0.55;0.3;0.27;0.19;0.12;0.13;0.0;0;0
3;67;-0.76;0.27;0.26;0.2;0.13;0.14;-0.02;0;0
4;67;-0.84;0.22;0.19;0.21;0.17;0.2;-0.01;0;0
5;67;-0.81;0.15;0.13;0.23;0.26;0.22;0.0;0;0
6;67;-0.88;0.16;0.14;0.38;0.14;0.18;0.0;0;0
1;68;-0.57;0.14;0.29;0.3;0.13;0.15;0.0;0;0
2;68;-0.44;0.52;0.28;0.12;0.04;0.04;0.01;0;0
3;68;-0.76;0.27;0.26;0.2;0.13;0.14;0.0;0;0
4;68;-0.87;0.19;0.18;0.21;0.21;0.21;0.0;0;0
5;68;-0.82;0.15;0.16;0.27;0.23;0.2;-0.01;0;0
6;68;-0.86;0.16;0.14;0.35;0.16;0.19;-0.0;0;0
1;69;-0.57;0.14;0.29;0.3;0.13;0.15;-0.01;0;0
2;69;-0.7;0.26;0.29;0.18;0.15;0.13;-0.01;0;0
3;69;-0.75;0.29;0.24;0.2;0.13;0.14;-0.01;0;0
4;69;-0.87;0.19;0.18;0.21;0.21;0.21;0.0;0;0
5;69;-0.82;0.15;0.16;0.27;0.23;0.2;-0.0;0;0
6;69;-0.96;0.18;0.15;0.35;0.15;0.17;0.0;0;0
1;70;-0.57;0.14;0.29;0.3;0.13;0.15;0.0;0;0
2;70;-0.56;0.26;0.2;0.2;0.14;0.19;0.0;0;0
3;70;-0.76;0.27;0.26;0.2;0.13;0.14;0.01;0;0
4;70;-0.85;0.17;0.16;0.22;0.23;0.22;0.01;0;0
5;70;-0.84;0.12;0.13;0.19;0.29;0.27;0.0;0;0
6;70;-0.85;0.18;0.15;0.31;0.17;0.19;0.0;0;0
1;71;-0.57;0.14;0.29;0.3;0.13;0.15;0.0;0;0
2;71;-0.56;0.26;0.2;0.2;0.14;0.19;0.02;0;0
3;71;-0.32;0.27;0.25;0.23;0.12;0.13;0.0;0;0
4;71;-0.89;0.19;0.17;0.23;0.2;0.22;-0.01;0;0
5;71;-0.82;0.15;0.16;0.27;0.23;0.2;-0.01;0;0
6;71;-0.86;0.16;0.14;0.35;0.16;0.19;-0.0;0;0
1;72;-0.57;0.14;0.29;0.3;0.13;0.15;-0.01;0;0
2;72;-0.7;0.26;0.29;0.18;0.15;0.13;-0.01;0;0
3;72;-0.76;0.27;0.26;0.2;0.13;0.14;0.0;0;0
4;72;-0.87;0.19;0.18;0.21;0.21;0.21;0.0;0;0
5;72;-0.84;0.12;0.13;0.19;0.29;0.27;-0.0;0;0
6;72;-0.88;0.16;0.14;0.38;0.14;0.18;0.0;0;0
1;73;-0.57;0.14;0.29;0.3;0.13;0.15;0.0;0;0
